Name;Breed;DOB;Sex;Neuter;CKD?;Cause CKD;Age at diagnosis CKD;Other reason for mesure;Concurrent conditions;Outcome;Last follow-up;Follow-up time (d);Date of death;Survival (d);Date 1;Weight 1;UPCR1;Crea BQ1;Crea HCV1;Urea1;K1;Phos1;TP1;Alb 1;Biochem1;PCV1;CBC1;BP1;USG1;UA1;Clinical signs1;Duration of clinical signs;Diagnostic work-up1;Urine culture1;Ttmt 1;Date 2;Weight 2;UPCR2;Crea BQ2;Crea HCV2;Urea2;K2;Phos2;TP2;Alb 2;Biochem2;PCV2;CBC2;BP2;USG2;UA2;Clinical signs2;Ttmt 2;Date 3;Weight 3;UPCR3;Crea BQ3;Crea HCV3;Urea3;K3;Phos3;TP3;Alb 3;Biochem3;PCV2;CBC2;BP3;USG3;UA3;Clinical signs3;Ttmt3;Other controls
8969-PERLITA;DHS;15/02/1998;F;Y;Y;;17;;;ALIVE;17/08/2015;;;;17/08/2015;;0.38;9.8;;;;16.1;9.7;;T4: 3,75;;LYMPHOPENIA, ANEMIA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9032-CROQUETA;EXOTIC;13/10/2009;F;Y;Y;;6;;polycystic kidney disease;ALIVE;17/10/2015;;;;17/10/2015;2.33;0.08;4.5;;;;12.3;;;;;ANEMIA;;;;VOMITING;;AUS: polycystic kidney ;;MAROPITANT, WET RENAL DIET;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9045-OTTY;DHS;15/06/2006;M;Y;N;;7;;;ALIVE;23/11/2015;;;;24/11/2015;;0.01;2.3;;67;;;;;;;ANEMIA;;1045;;ANOREXIA, DECAYED;;;;DIET;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9076-ASLAN;DHS;15/06/2007;M;Y;Y;;8;;FIV;ALIVE;20/11/2015;;;;19/11/2015;;2.38;3.1;;;;6;;;glu: 383;;GLUCOSURIA HEMATURIA;;1018;;POLYURIA, POLYDIPSIA;;;;FLUIDTHERAPY, MARBOFLOXACINE, MAROPITANT, BUPRENORFINE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8090-SUSI;DHS;01/07/2009;H;Y;Y;;7;;;ALIVE;25/11/2015;;;;24/11/2015;2.3;1.94;8.5;;100;;13;;;;;ANEMIA;HEMATURIA;1012;;;;AUS: LOSS OF CORTICAL DEFINITION. KIDNEY STONE IN RIGTH KIDNEY;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5522-YIBO;DHS;15/02/2017;M;Y;N;;7;;;ALIVE;05/06/2017;;;;07/12/2015;;0.02;2;;;;;;;;;;;1037;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6000-SELVA;DHS;30/03/2008;H;Y;Y;;7;;;ALIVE;23/02/2015;;;;25/01/2015;;0.08;3.4;;91;;;7.1;6;GLU:274;;;;1011;;VOMITING;;;;FLUIDTHERAPY, MAROPITANT, MARBOFLOXACINE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8777-RAYO;DHS;15/02/2005;M;Y;Y;;7;;;ALIVE;;;;;23/02/2015;;0.62;13.6;;130;;12.8;;;;;ANEMIA;;1015;;ANOREXIA;;AUS: LOSS OF CORTICAL DEFINITION;;MAROPITANT, MARBOFLOXACINE, MIRTAZAPINA, CALCIUM CARBONATE MAGNESIUM CARBONATE BENACEPRILO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4245-BRANDY;DHS;15/04/2005;M;Y;N;;7;;;ALIVE;05/10/2018;;;;30/03/2015;;0.5;2;;30;;;;3.4;TT4:2,10;;EOSINOFILIA;;1047;;;;AUS: OK;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8702-BLACKY;DHS;15/01/2005;M;Y;N;;7;;FIV;ALIVE;01/04/2015;;;;01/04/2015;;0.07;;;;;;;;;;;;1021;;;;AUS: DILATED RENAL PELVIS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8834-MALENI;DHS;15/01/2012;H;Y;Y;;3;;;ALIVE;22/04/2015;;;;22/03/2015;;0.13;2.4;;;;;;;TT4:1,35;;;;1040;;;;AUS: DILATED RENAL PELVIS;;COBALAMINE, MARBOFLOXACINE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8860-MOSACO;DHS;01/05/2005;M;Y;Y;;10;;;ALIVE;27/07/2015;;;;19/05/2015;;0.08;4.2;;62;;6.9;;3.2;;;;;1015;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6720-LOLA ;DHS;01/04/2009;H;Y;N;;10;;;ALIVE;08/11/2016;;;;;;0.08;1.5;;27;;;;;;;;;;;VOMITING;;AUS: LOSS OF CORTICAL DEFINITION;;VERAFLOXACINE, WET RENAL DIET;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8886-CHOLE;DHS;01/05/1999;H;Y;Y;;16;;;Dead;06/11/2015;;;;05/06/2015;3.44;0.4;8.5;;116;;12.5;;;;;;;1015;;;;AUS: LEFT KIDNEY WITH LITIASIS. ATROPHIC RIGHT KIDNEY ;;MAROPITANT, VEROFLOXACINE, BENACEPRILO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10208-YOYO;DHS;01/05/2017;M;Y;Y;LYMPHOMA;1;;;ALIVE;08/10/2018;;;;28/09/2018;4.6;1.3;4.2;;82;;11.6;;;SDMA: 100;;;;1015;;ANOREXIA, DECAYED;;AUS: RENOMEGALIA;;MAROPITANT, BUPRENORFINE, MIRTAZAPINE, CALCIUM CARBONATE MAGNESIUM CARBONATE BENACEPRILO, CHEMOTHERAPY;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
P33734 - FEIA;DSH;01/03/2004;M;Y;Y;;3;;FIV+;Asymptomatic at last follow-up;08/07/2010;1022;;;20/09/2007;6.5;0.15;1.9;;73.4;4.2;3.16;8.02;;"Chol 312.5
Gluc 141.2
GGT 1
ALT 73
Ca 10.7";38;"WBC 4760
otherwise ok";;1035;;Crisis d'astma?;Asimptomàtic;Rx tòrax: patró bronquial;;Dieta;11/12/2008;;;1.82;;66.2;3.99;4.25;7.69;;"Chol 325.3
Gluc 99.1
GGT 1
ALT 104
Ca 10.4";39;"WBC 3140
L 1193
N 1444
Plt 200";;;;Asimptomàtic;;08/07/2010;;;2.36;;69.2;4.18;3.44;7.88;;"Chol 286.4
Ca 11.1";;;;;;None;Continue diet;
P7297 - FRI;Persian;01/07/1996;M;Y;Y;PKD;12;;;Intermitent vomiting, suspected concomitant triaditis;24/02/2009;321;;;09/04/2008;7.3;0.5;2.56;;118.8;4.59;4.05;7.28;4.17;"Chol 230.7
Gluc 135.6
bil 0.17
FA 30.25
GGT 1
ALT 36
CK 216.1
Ca 10.7
Na 158.6
Cl 123.1";35;"WBC 3980
L 438";;1028;pH 5, prot +2, ok;Chronic vomiting;1y;AUS: PKD bilateral avançat, hidronefrosis RD;Negative;"Dieta
Benazepril 0.25 mg/kg/24h
Famotidina 0.5 mg/kg/12h";03/02/2009;6.2;1.3;2.17;;93.8;3.81;3.91;7.9;3.11;"Chol 219.8
Ca 9.4";22;"RBC 4.29
L 129
retic 13728";;;;"Acute vomiting (3d)
AUS: suspected mild triaditis";"Buprex
Ampicilina
Primperan
Flagyl";24/02/2009;6;;;;;;;;;;;;;;;Better, intermitent vomiting;;
P14159 - GORDI;DLH;01/01/1996;M;Y;N;;;Chronic vomiting, acute lethargy;Diagnosed of alimentary lymphoma;;19/09/2008;;;;28/05/2008;4.3;0.2;1.7;;64.8;4.14;4.38;6.96;;;;;;1045;;;;CXR, AUS, FIV/FeLV;;Mad-Wisc.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
P8737 - BONO;DSH;01/01/1998;M;Y;N;;;Slight weight loss;"Chronic gingivitis
FIV +";Still alive. No development of CKD. Development of hyperthyroidism 11/6/13.;Alive;;;;31/05/2007;;0.23;1.83;;65.4;3.72;4.73;8.05;3.08;ok;;;;1050;pH 7, prot +2, sang +3;Slight weight loss;;AUS;Negative;None;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
P38321 - PINCHA;DSH;01/02/1993;F;N;Y;;15;;Gingivitis;Development of pyometra 13/10/10 and agudization of renal failure. Creatinine 9.5. Improvement with medical treatment and lost to follow-up.;21/10/2010;766;;;15/09/2008;3.2;0.3;2.76;;84;4.04;1.81;7.1;2.82;"Chol 172.6
Gluc 128.4
bil 0.16
FA 41.58
GGT 1
ALT 47
CK 237
Ca 11
Na 153.8
Cl 119.9";35;ok;120;1030;pH 6, prot +1, gluc +1;Detected on bloods for gingivitis;;T4=1.4 ok, ;Staph coagulasa +, E. coli;"Dieta
Enrofloxacin";04/11/2008;3.5;;2.92;;76.8;3.61;2.77;6.21;2.89;"Chol 136.2
Gluc 144.8
GGT 1
ALT 52
Ca 10.4
bil 0.15
FA 31.3
CK 242.1
Na 148.9
Cl 117.7";;;;;;;;25/02/2009;3.5;;2.93;;77.3;3.66;2.86;6.4;3.41;"Chol 152.3
Ca 10.2";30;ok;115;;;Asimptomàtic;Dieta;
P33688 - NINA;DSH;01/04/2004;F;Y;Y;;4.5;;;;22/04/2012;1262;;;07/11/2008;2.9;0.5;;;49;2.3;;7.1;;"ALT 30
AST 76
Glu 229
Na 158";43;ok;;;;Weight loss, lethargy 1d.;;"FIV/FeLV neg
AUS: renal calculi, irregular kidneys";Negative;"Fluids, benazepril, famotidine, ampicillin.
Improvement of acute episode. Discharge on 3.12 of creatinine.";18/11/2008;;;1.94;;101;3.58;1.96;6.73;3.72;"Chol 195.3
Ca 3.58";;;;;;Asimptomàtic;Igual;04/12/2008;;1;1.65;;122.9;3.59;1.98;6.64;;"Chol 122.9
Ca 11.4";;;;;;Asimptomàtic. AUS: same.;Igual;"6/2/9: Crea 2.16, urea 112.7, UPCR 4.89, Phos 3.12, Ca 11.3, K 5.73, AUS: further degeneration RK. Cinically stable.
27/5/09: Crea 2.71, urea 104.6, Phos 3.11, Ca 11.1, K 5.46. Cinically stable.
8/9/09: Crea 2.71, urea 99.5, Phos 2.61, Ca 11.0, K 4.47.  Cinically stable.
10/3/12: weight loss, lethargy (agudization of CKD). BP 115. PCV 29.7%. Crea 9.2, urea 104, Phos 5.1, Ca 10 at admission. Crea 4.2, urea 39 at discharge (15/3/12). Lab HCV.
19/4/13: reagudization of CKD. Crea 7.3, urea 82, K 1.9, phos 7.1 at admission. Crea 3.7, PCV 26% at discharge (22/4/13)."
P34019 - TRINI;DSH;01/01/2000;F;Y;Y;;9;Mild azotemia on pre-OHE bloods;;Deterioration of CKD and PTS;;;27/10/2010;628;06/02/2009;;0.3;1.6;;81.1;2.48;2.02;6.87;;"Chol 355.9
Gluc 108.8
GGT 1
ALT 48
Ca 10.4";32;L 437;;1040;pH 5, prot +1, sang+2;None;;T4= 2.5 (slightly elevated);;;25/10/2010;2.9;;17.6;;796;6.91;13.01;6.79;;"Chol 260
Ca 9.7";31.5;"WBC 4.66
L 230";140;;;Poor condition, mental depression;Fluids, ranitidine, buprex;;;;;;;;;;;;;;;;;;;
P32154 - BUFI;Persian;16/03/1996;M;N;Y;;13;;Chronic gingivitis;;23/02/2009;1;;;23/02/2009;2.5;0.53;6.25;;195.2;2.81;14.15;8.62;2.88;"Chol 170
gluc 156.2
bil 0.16
FA 21.86
GGT 1
CK 309.1
ALT 58
Ca 9.4
Na 150.2
Cl 118.8";17;"RBC 3.96
N 13094
retic 24948";;1015;pH 5;PU-PD;Months;"T4 = 1.6 ok
AUS: degenerative renal changes, cyst in pancreas (PKD +)";Negative;Diet, benazepril;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
P39484 - KALI;DSH;01/01/2002;F;Y;N;;;Weight loss;Chronic gingivitis. Possible neoplasia (liver, GI);No improvement, likely euthanasia.;10/03/2009;27;;;11/02/2009;3;0.19;1.69;;46;5;4.6;8.1;2.8;"bil 0.15
Ca 9.27
Cl 116
Chol 71
FA 137
ALT 39
Gluc 289";40.6;ok;;1048;pH 7, prot +;Weight loss;3 weeks;"T4=1.9 ok, Fruct ok, FIV/FeLV neg
AUS: possible neopl liver and intestines, pleural effusion";;Prednisone.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
P34465 - FLIC;DSH;01/04/1995;M;N;Y;;12;;FIV+.;;29/06/2009;797;;;24/04/2007;9.5;;1.95;;75.7;3.44;3.13;8.74;;"Chol 219.7
Gluc 191
GGT 1
ALT 38
Ca 10.4";38;ok;;1010;pH 6, prot +, sang +4;;Episode of vomiting and hematoquezia. Slight decrease in apetitie.;"AUS: normal. 
T4 = 2.3 ok";;Diet, potassium;29/06/2009;6;0.1;;2.8;29;;3.39;6;;"FA 23.75
gluc 136
ALT 25
Ca 9.2";39;ok;130;;;;Fluids. Discharge 30/6/09.;;;;;;;;;;;;;;;;;;;
P40248 - MIU;DSH;01/01/2002;F;Y;Y;;7;;;No improvement, likely euthanasia.;04/08/2009;26;;;09/07/2009;3.3;0.3;4.04;;264;3.84;;8.84;3.61;"Chol 242
Gluc 200.2
FA 21.39
GGT 1
ALT 82
Na 143.2
Cl 83.2";45;"WBC 18380
M 2389
N 13050";;1020;pH 7, prto +2, sang +3, cilindres granulosos;Vomiting;2-3 months;"AUS: loss of cortical definition
FNA kidney: no lymphoma";;"Fluids, ampicillin, cerenia, famotidina.
Discharged 13/7/09 at 3.23 of creatinine";28/07/2009;;0.2;4.1;;74;2.5;9,48;7.35;;;30;ok;80;;;;Fluids. Discharged 30/7/09 at 2.66 creatinine.;;;;;;;;;;;;;;;;;;;
P40991 - MAX SEJMET;Sphynx;11/09/2005;M;N;N;;;Suspita urticària pigmentosa??? PU-PD;Urticària pigmentosa?;;29/09/2009;39;;;21/08/2009;;0.4;1.1;;51.8;3.55;4.02;7.86;;"Chol 114.4
Gluc 70.2
GGT 1
ALT 66
Ca 9.9";38;ok;;1045;pH 7, prot +;Suspita urticària pigmentosa??? PU-PD;;;Negative;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
P49360 - LUCAS;Persian;10/07/2006;M;N;Y;;6;;;No improvement, died at home;;;07/10/2012;4;03/10/2012;2.4;1.7;4.58;;249.8;3.09;7.88;;;;;;;1009;pH 6 prot +, sang +4;Hyporexia, PU-PD.;Few days;AUS: chronic renal changes, urinary calculi in bladder;;"Fluids, maropitant, omeprazol. 
Discharged on 5/10/12 due to finantial constraints with 4.74 creatinine.";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
P7986 - MEU;DSH;01/10/2004;F;N;Y;;8;;;No improvement, PTS.;;;03/05/2012;1;02/05/2012;2.9;2.23;;;275;2.7;28.8;10.3;3.6;"bil 0.9
gluc 281
ca 10.0
ALT 74
FA 48
Chol 195";39;;170;1019;pH 6, prot +3, sang +3;Occasional vomiting, weird behaviour;Few days;AUS: chronic renal changes;;Fluids, metoclopramide, ranitidine;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
P34849 - AGATA;DSH;01/01/2005;F;N;?;;2?;Azotemia (acute? prerenal?) + cholangitis +/- pancreatitis;;PTS;;;15/06/2007;2;13/06/2007;;2.2;4.05;;179.5;4.15;9.43;4.97;1.88;"Chol 131.6
Gluc 282.5
GGT 1
ALT 131
Ca 7.4";28;"WBC 1780
L 1264
M 89
N 374
Plt 154";;;;Lethargy, diarrhea, jaundice;;AUS: Cholangitis, hepatic infiltration, pancreatitis?, slight pelvic distension RK;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
P19102 - GUIZMO;Persian;01/10/2099;M;N;Y;PKD;8;;Corneal ulcers;PTS;;;09/12/2007;35;05/11/2007;3.8;0.9;8.37;;354;;;7.48;3.39;"Chol 354.4
ALT 73";26;"RBC 6.23
Retic 24920";;;;Chronic vomiting, weight loss;;AUS: PKD;;Potasion, diet, benacepril, oral serum;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
P33141 - ULISES;Persian;01/01/2007;M;N;Y;;4;;Intestinal FB. Pulmonary adenocarcinoma.;Died of pulmonary adenocarcinoma;;;20/05/2011;;19/04/2011;4.2;0.86;;;48;3.4;;6.1;2.1;"Glu 160
ALT < 10
FA 35";;;;;;Acute vomiting due to intestinal FB. Abnormal kidneys on US.;;AUS: degenerative kidneys;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
P26354 - NOIR;DSH;01/01/1998;M;N;Y;;10;;;PTS due to agudization and lack of response to ttmt;;;30/06/2012;1610;02/02/2008;7.5;0.2;1.94;;83.4;3.58;4.13;7.68;3.63;"Chol 225
Gluc 111.6
GGT 1
ALT 33
Ca 9.8";39;ok;;1045;prot +1;Coughing;;AUS: mild pielectasia RK;;Diet;10/11/2008;;;1.77;;47.9;4;2.03;7.6;3.59;"Chol 228
Gluc 175.9
bil 0.16
Fa 33.04
GGT 0
ALT 28
CK 159
Ca 10.2
Na 148
Cl 114";34;ok;;;;Asymptomatic;Igual;04/04/2012;;;;2.6;23;3.9;4.3;7.5;2.9;;28;;;1045;pH 6, prot +, sang +;Asymptomatic.;;"28/6/12: Acute vomiting. Crea 9.82, urea 239.7, K 4.92, Phos 3.08, CK 12517, PCV 28, USG 1012, gluc +1, prot +, sang +4. UPCR 0.4. PAS 105. AUS: chronic changes.
Initial improvement to creatinine of 5.8 but further deterioration to 10 and PTS 30/6/12."
P30328 - NEUS;Siamese;01/07/1985;M;Y;Y;;17;;;PTS;;;16/10/2008;192;07/04/2008;2.22;0.6;3.01;;207.2;3.5;159.9;7.53;3.3;"Chol 195
Gluc 158
bil 0.21
FA 86.6
GGT 1
ALT 64
CK 163.8
Ca 10.5
Na 159.9
Cl 122.6";27;"WBC 17170
N 14959
PLT 981";170;1016;pH 5, prot +, Cocci + N;Seizures? Pu-PD-PF;;"T4 = 0.82
AUS: chronic changes";Corynebacterium;Diet, benacepril, fluids, amoxi-clav, felivitamin, potassium;25/06/2008;;0.4;3.44;;283.3;4.26;6.38;7.86;2.86;"Chol 174
Ca 10.7";;;;;;Better.;Same;;;;;;;;;;;;;;;;;;;
P29899 - ROS;DSH;01/07/1999;M;Y;N;;;PU-PD with no obvious reason;DM;PTS due tot suspected alimentary lymphoma;;;19/11/2009;708;12/12/2007;;0.15;1.18;;38.4;4.76;;8.21;;"Chol 107.5
Gluc 215
FA 40.95
ALT 179";37;ok;;1053;pH 7, prot +, gluc +;PU-PD despite good diabetic control;;;Negative;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
P5338 - ROCK;DSH;01/01/1992;M;Y;Y;;16;;Chronic gingivitis;PTS due to weight loss, uncontrolled gingivitis;;;16/09/2008;159;10/04/2008;2.9;0.8;2.86;;116.4;3.65;4.61;10.56;2.47;"Chol 168
Gluc 96.4
bil 0.19
GGT 1
ALT 25
CK 115
Ca 9.9
Na 151.2
Cl 120.2
G-glob 4.37";24;"RBC 3.82
VCM 62.8
WBC 16940
N 15077
retic 3820";;;;Clinically deterioraton, including gingivitis worsening.;;Leish ser neg. FIV/FeLV neg.;;Benacepril;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
P4253 - MIXET;DSH;01/01/1991;M;Y;;;17;;;;16/04/2008;0;;;16/04/2013;3.3;0.4;9.22;;314.6;4.34;11.16;8.05;3.22;"Chol 314
gluc 92
bil 0.2
FA 27.3
GGT 1
ALT 71
CK 348
Ca 10.1
Na 151.1
Cl 122.6";25;RBC 5.05;;1012;pH 5, prot traces;Anorexia, weight loss, PU-PD, chronic V;;T4 = 1.2 ok, FIV/FeLV negative;;Diet, benacepril;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
P37624 - YAGO;DSH;01/01/1994;M;Y;Y;;14;;;PTS due to development of osteosarcoma;;;04/03/2009;257;20/06/2008;8;0.1;2.2;;72.8;3.77;2.33;8.57;3.8;"Chol 181.2
Gluc 127.7
bil 0.16
FA 24.54
GGT 1
ALT 54
CK 458
Ca 10.7
Na 147.4
Cl 112.2";36;ok;210;1020;pH 6, prot +/-;PU-PD;;;;Benacepril + meloxicam;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
P4526 - SALY;DSH;01/01/1993;F;Y;N;;;Weight loss (later defined as alimentary LSA);Alimentary LSA;PTS due to clinical deterioration;;;26/02/2009;17;09/02/2009;2.6;0.2;1.27;;58.5;4.87;4.58;5.63;2.46;"Chol 161.6
Gluc 123.5
Bil 0.11
FA 110.75
GGT 1
ALT 108
CK 587
Ca 9.6
Na 154
Cl 123.3";34;L 808;140;1012;pH 6;Weight loss, mild chronic V/D;;"T4 = 1.1
Cobalamin = 111 low
FIV/FeLV neg
AUS: mild changes in liver and LN";;Ampicillin, drontal, diet intestinal, vit B12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
P40205 - EEVEE;Persian;01/01/1999;M;Y;Y;;11;;Cholangitis;PTS due to deterioration ok CKD;;;30/03/2012;692;08/05/2010;3.4;1.4;2.24;;;;5.82;6.89;1.25;"bil 5.42
AST 125
FA 47.67
GGT 2
ALT 76
Ca 8.1";22;"RBC 5.83
WBC 31080
N 30148
retic 6413";;1024;pH 7, bil +3, prot +1, sang +1;Vomiting, weight loss, jaundice;;AUS: kidney abnormalities, cholangitis;;Ttmt for cholangitis and resolution of the episode.;30/03/2012;2.16;;;>12;>130;3.8;;7.9;2.8;"Gluc 99
ALT 108
FA 45";;;;;;;;;;;;;;;;;;;;;;;;;;
P10692 - 74;DSH;01/01/2003;F;Y;Y;;7;;Idiopathic hypercalcemia (before);PTS due to clinical deterioration;;;29/01/2013;296;08/04/2012;4.3;0.5;;;59;;4;6.6;2.5;"Chol 186
Glu 220
Ca 9.6
ALT 31
FA 18
Bil 0.4
GGT 0";26.8;"WBC 25.33
N 22.16
PLT 877
RBC 4.92";170;1026;"pH 6
prot +3
sang +3
intracellular rods";Acute vomiting, dysuria, hyporexia;;AUS: kidneys changes;neg;Diet, benacepril, fluids, enrofloxacin, maropitant;02/10/2012;;;22.89;;486;4.56;20.88;7.08;;"Ca 11.3
Chol 186";;;;;;Lethargy;;;;;;;;;;;;;;;;;;;;
P18235 - ISIS;Persian;01/06/1999;F;Y;N;;;Azotemia (prerenal?);Later development of alimentary lymphoma;PTS due to lymphoma;;;22/10/2012;;14/06/2010;4.9;0.2;1.57;;80.2;3.68;3.7;7.5;;"Chol 197.3
Gluc 104.4
GGT 1
ALT 29
Ca 10.6";33;"WBC 3830
L 498";;1038;pH 7, prot +, sang +;;;;;;18/09/2012;3.5;;0.88;;35.1;5.56;4.38;5;;"Chol 156.3
Gluc 141.1
FA 73.53
ALT 54
Ca 8.8";24;"WBC 1640
L 115
N 1394
RBC 7.2
VCM 36.4
retic 15840";;;;Anorexia, weight loss, vomiting;;;;;;;;;;;;;;;;;;;;
P10764 - HUNGKI;DSH;15/04/2003;M;Y;Y;;8;;;PTS due to progressive CKD;;;19/04/2011;85;24/01/2011;5.17;0.8;3.52;;180.3;3.87;5.97;8.66;;"Chol 297.8
Gluc 173.5
GGT 1
ALT 46
Ca 11.3";32;ok;160;1018;pH 6, prot +;PU-PD, lethargy, weight loss;;"T4 = 1.17 (low)
AUS: renal disease and renal infarcts";negative;Diet, benacepril;21/02/2011;4.4;;7.58;;240.2;3.13;7.17;;;Na 150;;;;;;;Fluid tx. No much improvement. Discharged 2 days later at 7.24 of creatinine;10/03/2011;4.1;;8.42;;198.5;3.63;5.51;;;;;;;;;Not eating much, stable;;
P737 - MACARENO;DSH;01/01/1992;M;Y;Y;;18;;;PTS due to progressive CKD;;;15/05/2011;;01/06/2010;;0.2;3.12;;122.8;4.2;4.59;8.33;;"Chol 181.4
gluc 154.4
GGT 1
ALT 71
Ca 10.3";28;ok;;1015;pH 5, prot +, sang +2;Found on routine blood work;;T4 = 1.99;Negative;Renal diet;09/11/2010;;;2.48;;105.7;3.96;3.9;7.9;3.16;"Chol 194.9
Ca 11.9";29;;;;;;;28/03/2011;4.065;0.6;3.79;;145.2;4.45;;;;"ALT 44
gluc 134.9";;;180;;;Weight loss, otherwise ok.;Iniciate benzepril;"9/5/11: Anorexia. Crea 9.06, Urea 408.9, Gluc 187, ALT 27, K 3.69 --> fluids
11/5/11: Crea 6.54, urea 308, K 5.65
12/5/11: Crea 6, urea 267.2
15/5/11: PTS"
P17734 - PUPUX;DSH;01/01/1998;F;Y;Y;;12;;Later development of pulmonary carcinoma;PTS due to pulmonary carcinoma;;;13/06/2012;;29/04/2010;;0.1;1.81;;38.5;3.79;3.92;6.07;;"Chol 188.5
Gluc 178
GGT 1
ALT 62
Ca 9.5";29;ok;;1020;pH 6, prot traces, sang +4;Found on routine blood work;;T4 = 2.13 ok;;Renal diet;15/02/2011;;0.1;1.97;;57.2;3.46;4.18;6.74;;"Chol 180
Gluc 136
GGT 1
ALT 35
Ca 9.5
T4 = 2.19";30;ok;;1020;ok. Negative culture;;;27/10/2011;;0.1;1.48;;57.5;3.81;3.76;5.81;;"Chol 169.3
Gluc 5.81
GGT 1
ALT 30
Ca 8.7
T4 = 2.26";34;;;1020;;;;
